,expected,predicted
682,[0.],[0.01684281]
683,[0.26],[0.22579436]
684,[0.],[0.0365567]
685,[0.71],[0.44540846]
686,[0.46],[0.4667558]
687,[0.],[0.11811705]
688,[0.5],[0.33090526]
689,[0.34],[0.21587765]
690,[0.33],[0.30333295]
691,[0.],[0.12685573]
692,[0.41],[0.42302188]
693,[0.],[0.14186215]
694,[0.68],[0.34848526]
695,[0.],[0.01975643]
696,[0.28],[0.3429023]
697,[0.],[0.18103296]
698,[0.],[0.02963499]
699,[0.54],[0.24463876]
700,[0.],[0.13521114]
701,[0.],[0.31493738]
702,[0.75],[0.43159446]
703,[0.26],[0.30122542]
704,[0.24],[0.39925823]
705,[0.5],[0.40031815]
706,[0.],[0.50478435]
707,[0.56],[0.39008418]
708,[0.22],[0.22358504]
709,[0.74],[0.56794643]
710,[0.31],[0.35452777]
711,[0.43],[0.39512974]
712,[0.],[0.04473459]
713,[0.01],[0.33454344]
714,[0.29],[0.29592794]
715,[0.],[0.01987723]
716,[0.],[0.23013014]
717,[0.],[0.08385389]
718,[0.72],[0.5047421]
719,[0.04],[0.08314204]
720,[0.4],[0.30756032]
721,[0.05],[0.06021421]
722,[0.1],[0.31568527]
723,[0.],[0.02204682]
724,[0.31],[0.37347978]
725,[0.],[0.04294433]
726,[0.32],[0.40428162]
727,[0.],[0.03179348]
728,[0.57],[0.44827512]
729,[0.42],[0.3526551]
730,[0.],[0.4468202]
731,[0.48],[0.37046447]
732,[0.33],[0.23502003]
733,[0.32],[0.33344197]
734,[0.01],[0.33962622]
735,[0.39],[0.2874258]
736,[0.],[0.20699324]
737,[0.],[0.12385029]
738,[0.07],[0.47319832]
739,[0.6],[0.35634103]
740,[0.6],[0.42982036]
741,[0.39],[0.49442264]
742,[0.29],[0.08559529]
743,[0.32],[0.44782516]
744,[0.],[0.21870245]
745,[0.],[0.02425537]
746,[0.32],[0.3137823]
747,[0.],[0.05000836]
748,[0.],[0.07040198]
749,[0.71],[0.5367956]
750,[0.],[0.06429447]
751,[0.],[0.01761718]
752,[0.68],[0.34547317]
753,[0.48],[0.33207285]
754,[0.42],[0.26753908]
755,[0.53],[0.43169433]
756,[0.],[0.23323596]
757,[0.48],[0.40324965]
758,[0.],[0.07497866]
759,[0.],[0.3108388]
760,[0.23],[0.34416014]
761,[0.03],[0.34245116]
762,[0.73],[0.40218747]
763,[0.48],[0.16283605]
764,[0.34],[0.38137215]
765,[0.],[0.03821228]
766,[0.],[0.29663843]
767,[0.57],[0.3925693]
768,[0.51],[0.28609505]
769,[0.],[0.03012936]
770,[0.25],[0.34260675]
771,[0.16],[0.34392476]
772,[0.03],[0.2874801]
773,[0.],[0.34817946]
774,[0.13],[0.29098356]
775,[0.06],[0.18096222]
776,[0.43],[0.21016176]
777,[0.43],[0.27316546]
778,[0.29],[0.3762589]
779,[0.69],[0.5069635]
780,[0.53],[0.31935856]
781,[0.39],[0.29392776]
782,[0.44],[0.40242168]
783,[0.38],[0.2851699]
784,[0.33],[0.26411867]
785,[0.],[0.00497192]
786,[0.11],[0.29271495]
787,[0.6],[0.45339447]
788,[0.6],[0.2898286]
789,[0.32],[0.4290416]
790,[0.29],[0.3636231]
791,[0.32],[0.2949381]
792,[0.15],[0.20917031]
793,[0.37],[0.01122367]
794,[0.16],[0.12093749]
795,[0.04],[0.18914433]
796,[0.01],[0.0387447]
797,[0.36],[0.24071935]
798,[0.],[0.2077337]
799,[0.43],[0.33076888]
800,[0.09],[0.29146346]
801,[0.27],[0.359937]
802,[0.22],[0.1768065]
803,[0.5],[0.17662269]
804,[0.29],[0.23374642]
805,[0.24],[0.36174035]
806,[0.53],[0.22577323]
807,[0.14],[0.24762578]
808,[0.31],[0.23925927]
809,[0.22],[0.37033173]
810,[0.44],[0.41794595]
811,[0.13],[0.269736]
812,[0.35],[0.3711682]
813,[0.17],[0.13555187]
814,[0.6],[0.4166487]
815,[0.56],[0.21889499]
816,[0.21],[0.24505673]
817,[0.],[0.02558383]
818,[0.22],[0.36677027]
819,[0.25],[0.2572915]
820,[0.27],[0.21648386]
821,[0.59],[0.34634534]
822,[0.04],[0.11249112]
823,[0.7],[0.32707164]
824,[0.],[0.2188042]
825,[0.],[0.5838169]
826,[0.22],[0.37865007]
827,[0.26],[0.18807165]
828,[0.33],[0.37455127]
829,[0.],[0.01156934]
830,[0.],[0.02936961]
831,[0.16],[0.23121233]
832,[0.],[0.03920617]
833,[0.26],[0.12494326]
834,[0.],[0.02052249]
835,[0.],[0.00982893]
836,[0.21],[0.36238286]
837,[0.39],[0.43290296]
838,[0.44],[0.30093753]
839,[0.16],[0.37897146]
840,[0.25],[0.03093132]
841,[0.57],[0.22539681]
842,[0.51],[0.35064083]
843,[0.46],[0.37486273]
844,[0.7],[0.4817287]
845,[0.17],[0.28962338]
846,[0.41],[0.33014625]
847,[0.28],[0.31711373]
848,[0.],[0.05136603]
849,[0.81],[0.4255417]
850,[0.44],[0.21088345]
851,[0.14],[0.14400509]
852,[0.],[0.01822938]
853,[0.],[0.3583654]
854,[0.],[0.01651539]
855,[0.33],[0.40471634]
856,[0.42],[0.40590662]
857,[0.14],[0.25805777]
858,[0.3],[0.11574759]
859,[0.],[0.22548576]
860,[0.42],[0.36381006]
861,[0.71],[0.39831358]
862,[0.3],[0.41527596]
863,[0.27],[0.26584774]
864,[0.43],[0.18457252]
865,[0.16],[0.32312176]
866,[0.33],[0.37540352]
867,[0.5],[0.32799512]
868,[0.],[0.02885393]
869,[0.36],[0.36461642]
870,[0.27],[0.39125755]
871,[0.48],[0.40810794]
872,[0.19],[0.20353097]
873,[0.44],[0.1940658]
874,[0.],[0.05379003]
875,[0.47],[0.4206299]
876,[0.52],[0.17135707]
877,[0.],[0.12301809]
878,[0.36],[0.35865808]
879,[0.38],[0.2166806]
880,[0.08],[0.07297288]
881,[0.42],[0.36764833]
882,[0.02],[0.1707923]
883,[0.34],[0.33007875]
884,[0.],[0.06234923]
885,[0.28],[0.2339514]
886,[0.44],[0.4549674]
887,[0.01],[0.10689592]
888,[0.08],[0.22895604]
889,[0.32],[0.05307172]
890,[0.24],[0.21926248]
891,[0.],[0.44681385]
892,[0.4],[0.38100863]
893,[0.26],[0.1707592]
894,[0.55],[0.32486737]
895,[0.],[0.36324447]
896,[0.02],[0.22333883]
897,[0.25],[0.36160463]
898,[0.],[0.34769988]
899,[0.25],[0.26533172]
900,[0.],[0.09381774]
901,[0.47],[0.47958666]
902,[0.32],[0.3469851]
903,[0.],[0.09793306]
904,[0.14],[0.29240823]
905,[0.22],[0.26649648]
906,[0.],[0.0125735]
907,[0.54],[0.38309485]
908,[0.],[0.01443575]
909,[0.11],[0.19591698]
910,[0.07],[0.15790948]
911,[0.29],[0.35745558]
912,[0.],[0.11883602]
913,[0.31],[0.17583399]
914,[0.01],[0.44634762]
915,[0.07],[0.05529369]
916,[0.],[-0.01166188]
917,[0.61],[0.4395326]
918,[0.59],[0.52444774]
919,[0.05],[0.2602579]
920,[0.],[0.1661955]
921,[0.3],[0.04766908]
922,[0.],[0.3260822]
923,[0.31],[0.36740065]
924,[0.03],[0.10437839]
925,[0.43],[0.32880878]
926,[0.],[0.16196395]
927,[0.38],[0.32995674]
928,[0.27],[0.19267002]
929,[0.35],[0.44495937]
930,[0.17],[0.2964695]
931,[0.],[0.10481879]
932,[0.12],[0.26288804]
933,[0.],[0.06882562]
934,[0.],[-0.07499459]
935,[0.04],[0.27051318]
936,[0.65],[0.38961205]
937,[0.69],[0.07515427]
938,[0.24],[0.17402475]
939,[0.51],[0.42742214]
940,[0.],[0.02972546]
941,[0.74],[0.21082687]
942,[0.],[0.2523442]
943,[0.06],[0.05282251]
944,[0.05],[0.03678635]
945,[0.46],[0.4248481]
946,[0.29],[0.3640765]
947,[0.],[0.28817406]
